filename	onset	offset	event_labels	modality
00m3AbSa21M_550_560	0	10	Blender	visual
00v4G1YbJAE_30_40	0,1	10,5	Lawn_mower,Speech	audio
00v4G1YbJAE_30_40	0	10	Lawn_mower	visual
01zSTM-3yjk_10_20	0,0,7	10,2,10	Vacuum_cleaner,Speech,Speech	audio
01zSTM-3yjk_10_20	0	10	Vacuum_cleaner	visual
0292kQJnKos_30_40	0,4	4,10	Speech,Cheering	audio
0292kQJnKos_30_40	0,7	4,8	Speech,Cheering	visual
04I1mfPeAng_30_40	0,1	10,6	Car,Speech	audio
04I1mfPeAng_30_40	0	10	Car	visual
04TYhV8SKZ0_30_40	0,6	5,10	Singing,Singing	audio
04TYhV8SKZ0_30_40	0,6	5,10	Singing,Singing	visual
050iiMJKE20_180_190	0,5,7	5,7,10	Speech,Chainsaw,Speech	audio
050iiMJKE20_180_190	1,5	4,10	Helicopter,Chainsaw	visual
052B1KqZNvc_30_40	0,0,7	10,4,8	Car,Singing,Speech	audio
052B1KqZNvc_30_40	0	10	Car	visual
05pbHOqMVtg_140_150	0	10	Helicopter	audio
05pbHOqMVtg_140_150	0	10	Helicopter	visual
06xprMsre2M_80_90	0,3,5,8	10,4,7,10	Blender,Speech,Speech,Speech	audio
06xprMsre2M_80_90	0	10	Blender	visual
07QDI50hlec_50_60	0	1	Vacuum_cleaner	audio
07QDI50hlec_50_60	0	1	Vacuum_cleaner	visual
0A-Y2CvbVMs_30_40	0	10	Accordion	audio
0A-Y2CvbVMs_30_40	0	10	Accordion	visual
0AuRaeswC-8_20_30	4,0	10,5	Chicken_rooster,Speech	audio
0AuRaeswC-8_20_30	0	10	Chicken_rooster	visual
0DvICv9rCkM_70_80	4	7	Vacuum_cleaner	audio
0DvICv9rCkM_70_80	0	10	Vacuum_cleaner	visual
0EcfL54lGUA_30_40	0,0,7,7	10,5,10,10	Car,Speech,Clapping,Cheering	audio
0EcfL54lGUA_30_40	0,9,7	8,10,10	Car,Clapping,Cheering	visual
0F2XPtG9pJM_30_40	8	10	Violin_fiddle	audio
0F2XPtG9pJM_30_40	2	10	Violin_fiddle	visual
0Fc42_i3G80_100_110	0,1,0	10,10,1	Vacuum_cleaner,Vacuum_cleaner,Speech	audio
0Fc42_i3G80_100_110	1	10	Vacuum_cleaner	visual
0Ft06J1FdAo_420_430	0	10	Cheering	audio
0Ft06J1FdAo_420_430	0	10	Cheering	visual
0J3OzIVLnEI_50_60	0	10	Chicken_rooster	audio
0J3OzIVLnEI_50_60	0	10	Chicken_rooster	visual
0JAGPDtKZ68_350_360	0,0,0,3	5,10,1,10	Speech,Cheering,Clapping,Clapping	audio
0JAGPDtKZ68_350_360	5	10	Cheering	visual
0OD_03N7XTQ_250_260	0,0	10,3	Speech,Clapping	audio
0OD_03N7XTQ_250_260	0,0	10,3	Speech,Clapping	visual
0PxvBPOjDKI_30_40	0	10	Chainsaw	audio
0PxvBPOjDKI_30_40	0	8	Chainsaw	visual
0QFpWAP8fPs_390_400	0,4,8	10,6,10	Cheering,Clapping,Speech	audio
0QFpWAP8fPs_390_400	0,0	10,10	Cheering,Clapping	visual
0QPnouN3Hq8_30_40	0,0,6	10,5,8	Car,Speech,Speech	audio
0QPnouN3Hq8_30_40	0	10	Car	visual
0QXKGC5bXno_30_40	0,0	10,10	Cello,Violin_fiddle	audio
0QXKGC5bXno_30_40	0,0	10,10	Cello,Violin_fiddle	visual
0RFa3yJRuDg_80_90	0	10	Cheering	audio
0RFa3yJRuDg_80_90	0	10	Cheering	visual
0SavSPZveDc_380_390	0	10	Speech	audio
0SavSPZveDc_380_390	0	10	Speech	visual
0T4gZQwzyKY_30_40	9	10	Clapping	audio
0T4gZQwzyKY_30_40	0,8	10,9	Cheering,Clapping	visual
0ULOk49bHkI_180_190	0,0,3	10,2,4	Car,Speech,Speech	audio
0ULOk49bHkI_180_190	0	10	Car	visual
0W1sdHWIuAs_30_40	0,4	2,8	Dog,Dog	audio
0W1sdHWIuAs_30_40	0	10	Dog	visual
0XLFf3Qvahw_30_40	0,1,8	10,2,10	Car,Speech,Speech	audio
0XLFf3Qvahw_30_40	0	10	Car	visual
0YErPHsAxWM_80_90	0,4	10,10	Car,Speech	audio
0YErPHsAxWM_80_90	0	10	Car	visual
0ZAR-Tbrv3s_150_160	7	10	Singing	audio
0ZAR-Tbrv3s_150_160	7	10	Singing	visual
0Zn0yN14eh8_230_240	9	10	Chainsaw	audio
0Zn0yN14eh8_230_240	5	9	Chainsaw	visual
0_MLIPfb84s_30_40	1,0	10,10	Violin_fiddle,Acoustic_guitar	audio
0_MLIPfb84s_30_40	0,0	10,10	Violin_fiddle,Acoustic_guitar	visual
0aVst7GNuVM_30_40	0	10	Car	audio
0aVst7GNuVM_30_40	0	10	Car	visual
0bNb6oHg1_w_21_31	0,0	10,10	Car,Speech	audio
0bNb6oHg1_w_21_31	0	10	Car	visual
0dVXlandefw_4_14	0,4,6	10,6,7	Car,Speech,Speech	audio
0dVXlandefw_4_14	0	10	Car	visual
0dZis656VIo_30_40	0,0	10,10	Car,Speech	audio
0dZis656VIo_30_40	0	10	Car	visual
0dgKhlejMJ8_350_360	0,0	10,10	Cello,Violin_fiddle	audio
0dgKhlejMJ8_350_360	0,0	10,10	Cello,Violin_fiddle	visual
0dhEeSX-59I_25_35	0	10	Car	audio
0dhEeSX-59I_25_35	0	10	Car	visual
0eAGbJEQhJ8_0_10	0,5,9	1,8,10	Speech,Speech,Speech	audio
0eAGbJEQhJ8_0_10	0	10	Car	visual
0eLC4aFPpng_30_40	0	10	Car	audio
0eLC4aFPpng_30_40	0	10	Car	visual
0eaafXX-pPE_30_40	0,6,3,8	4,8,6,10	Baby_laughter,Baby_laughter,Speech,Speech	audio
0eaafXX-pPE_30_40	0,6	4,8	Baby_laughter,Baby_laughter	visual
0ehyZCP7iuQ_80_90	0	10	Vacuum_cleaner	audio
0ehyZCP7iuQ_80_90	0	10	Vacuum_cleaner	visual
0elWYlc8shc_30_40	0	10	Car	audio
0elWYlc8shc_30_40	0	10	Car	visual
0ezR24_jTDA_70_80	0,0,7	5,3,10	Basketball_bounce,Speech,Speech	audio
0ezR24_jTDA_70_80	0,7	5,10	Basketball_bounce,Speech	visual
0fLcfpmn38I_30_40	0	10	Car	audio
0fLcfpmn38I_30_40	0	10	Car	visual
0g-L2iF5y9k_140_150	2,5,4	9,8,5	Clapping,Speech,Cheering	audio
0g-L2iF5y9k_140_150	0	10	Acoustic_guitar	visual
0gJPpZXeGms_10_20	0,2	10,10	Car,Dog	audio
0gJPpZXeGms_10_20	0,0	10,10	Dog,Car	visual
0gfxwS7Wla8_30_40	0,5	10,8	Car,Speech	audio
0gfxwS7Wla8_30_40	0	10	Car	visual
0gmLAVhaTKE_5_15	0	10	Car	audio
0gmLAVhaTKE_5_15	0	7	Car	visual
0hE-lduyMng_150_160	0,1,6	10,5,10	Frying_(food),Speech,Speech	audio
0hE-lduyMng_150_160	0	10	Frying_(food)	visual
0iEtuM3NEKw_30_40	0	10	Car	audio
0iEtuM3NEKw_30_40	0	10	Car	visual
0iS6S7e_j8Q_20_30	0,0	10,10	Clapping,Singing	audio
0iS6S7e_j8Q_20_30	4	10	Singing	visual
0ioAyzjtiZI_30_40	0	10	Car	audio
0ioAyzjtiZI_30_40	0	10	Car	visual
0kAaPH2wrvM_140_150	0,2,7	10,5,9	Vacuum_cleaner,Speech,Speech	audio
0kAaPH2wrvM_140_150	0	10	Vacuum_cleaner	visual
0kNHMn3a6BM_30_40	2,9	5,10	Speech,Speech	audio
0kNHMn3a6BM_30_40	0	10	Car	visual
0kWsQAObBjo_30_40	0,0,0	10,10,10	Cheering,Speech,Clapping	audio
0kWsQAObBjo_30_40	0,0,0	10,10,10	Cheering,Speech,Clapping	visual
0l4rszJ8M9E_90_100	0,0	10,10	Banjo,Violin_fiddle	audio
0l4rszJ8M9E_90_100	0,0	10,10	Banjo,Violin_fiddle	visual
0lEavQUSRO4_410_420	0,0,6	10,3,10	Frying_(food),Speech,Speech	audio
0lEavQUSRO4_410_420	0	10	Frying_(food)	visual
0lpXFLNGM5E_130_140	7	10	Speech	audio
0lpXFLNGM5E_130_140	0	10	Dog	visual
0mIwyFySgjs_30_40	0,9	7,10	Car,Car	audio
0mIwyFySgjs_30_40	0,9	2,10	Car,Car	visual
0mKRXJhlMb0_120_130	0,9	3,10	Chicken_rooster,Chicken_rooster	audio
0mKRXJhlMb0_120_130	0	10	Chicken_rooster	visual
0mMAgkJc9DM_60_70	0	10	Singing	audio
0mMAgkJc9DM_60_70	0	6	Singing	visual
0o-DD4GwohU_110_120	0	10	Vacuum_cleaner	audio
0o-DD4GwohU_110_120	0	10	Vacuum_cleaner	visual
0oUbMWJgokM_170_180	0,0,5,7	10,1,6,10	Frying_(food),Speech,Speech,Speech	audio
0oUbMWJgokM_170_180	0	10	Frying_(food)	visual
0p9ClF5DXNo_160_170	0	9	Vacuum_cleaner	audio
0p9ClF5DXNo_160_170	0,0	9,10	Vacuum_cleaner,Cat	visual
0qx_L11zBAY_30_40	0,0	10,10	Cello,Violin_fiddle	audio
0qx_L11zBAY_30_40	0,0	10,10	Cello,Violin_fiddle	visual
0rrQS9Nt48s_180_190	0,0,7	10,2,10	Frying_(food),Speech,Speech	audio
0rrQS9Nt48s_180_190	0	10	Frying_(food)	visual
0sBkJR5Jads_8_18	0	7	Car	audio
0sBkJR5Jads_8_18	0	10	Car	visual
0sqE1PT9w4E_0_10	0	10	Singing	audio
0sqE1PT9w4E_0_10	9	10	Singing	visual
0tL1Mc95WyY_3_13	0	10	Car	audio
0tL1Mc95WyY_3_13	0	10	Car	visual
0vlayD4ueuA_0_10	0	10	Chainsaw	audio
0vlayD4ueuA_0_10	4	10	Chainsaw	visual
0wQpnBSQ4fY_350_360	0,0,5	6,4,10	Frying_(food),Speech,Speech	audio
0wQpnBSQ4fY_350_360	0	5	Frying_(food)	visual
0x4ozoZB_2M_0_10	0	10	Chicken_rooster	audio
0x4ozoZB_2M_0_10	0	10	Chicken_rooster	visual
0xvGvc-zADE_30_40	0	10	Car	audio
0xvGvc-zADE_30_40	0	10	Car	visual
0yCFCh8e10Y_10_20	0	10	Vacuum_cleaner	audio
0yCFCh8e10Y_10_20	0	10	Vacuum_cleaner	visual
0yW5XUGJsOU_8_18	8,5	9,8	Speech,Car	audio
0yW5XUGJsOU_8_18	0,8	8,9	Car,Speech	visual
0yleWcyPyx0_210_220	0	10	Lawn_mower	audio
0yleWcyPyx0_210_220	0	10	Lawn_mower	visual
0zAFUHzL5kU_23_33	0,6,1,0	1,10,8,10	Speech,Speech,Cheering,Car	audio
0zAFUHzL5kU_23_33	0	10	Car	visual
1-VMTJRpjbE_150_160	1,4,8	3,10,10	Speech,Fire_alarm,Speech	audio
1-VMTJRpjbE_150_160	2	10	Fire_alarm	visual
103Bq0x6Mkc_30_40	0	10	Car	audio
103Bq0x6Mkc_30_40	0	10	Car	visual
104Ghhu6mks_21_31	0,5	9,6	Speech,Car	audio
104Ghhu6mks_21_31	0	10	Car	visual
10e2PY0WjPY_30_40	0	10	Car	audio
10e2PY0WjPY_30_40	0	10	Car	visual
10lI3fjFrBU_30_40	0,6,1,4	2,10,4,6	Speech,Speech,Singing,Singing	audio
10lI3fjFrBU_30_40	0	10	Car	visual
12-uDhDhWOk_30_40	0	10	Car	audio
12-uDhDhWOk_30_40	0	10	Car	visual
12eWNawPekw_30_40	0	10	Helicopter	audio
12eWNawPekw_30_40	0,0	10,10	Helicopter,Car	visual
13jJ1DHgJgI_30_40	0	10	Car	audio
13jJ1DHgJgI_30_40	0	1	Car	visual
14ekd4nkpwc_28_38	0	9	Baby_cry_infant_cry	audio
14ekd4nkpwc_28_38	0	9	Baby_cry_infant_cry	visual
14lfcY6CwZY_30_40	0,0	10,10	Speech,Car	audio
14lfcY6CwZY_30_40	0,0	10,10	Speech,Car	visual
14xiJ2TAfI0_430_440	0,6	6,8	Speech,Clapping	audio
14xiJ2TAfI0_430_440	0	6	Speech	visual
15qmhCMftso_70_80	0,0	10,10	Accordion,Violin_fiddle	audio
15qmhCMftso_70_80	0,0	10,8	Accordion,Violin_fiddle	visual
16k-hKzQqKc_270_280	0	10	Helicopter	audio
16k-hKzQqKc_270_280	0	10	Helicopter	visual
187cVfWpf6Q_100_110	0	10	Helicopter	audio
187cVfWpf6Q_100_110	0	10	Helicopter	visual
18Upv_ZinJ0_90_100	0,2	2,10	Speech,Vacuum_cleaner	audio
18Upv_ZinJ0_90_100	0	10	Vacuum_cleaner	visual
18XhuufODY0_30_40	5,0,0	10,4,4	Speech,Cheering,Singing	audio
18XhuufODY0_30_40	5,0	10,4	Speech,Cheering	visual
18ga5cnUrmk_80_90	0,0	10,10	Frying_(food),Speech	audio
18ga5cnUrmk_80_90	0	10	Frying_(food)	visual
19jWnmYnlD8_30_40	0	10	Violin_fiddle	audio
19jWnmYnlD8_30_40	0	10	Violin_fiddle	visual
19jWnmYnlD8_30_400	0	10	Clapping	audio
19jWnmYnlD8_30_400	0	10	Clapping	visual
19kcipjzOGI_7_17	0	9	Baby_cry_infant_cry	audio
19kcipjzOGI_7_17	0	10	Baby_cry_infant_cry	visual
19lu7gR1je0_180_190	0	10	Car	audio
19lu7gR1je0_180_190	0	10	Car	visual
1AgD2StmjBo_30_40	0	10	Car	audio
1AgD2StmjBo_30_40	0	10	Car	visual
1BPMaFuSk5Y_12_22	0,1	8,8	Car,Speech	audio
1BPMaFuSk5Y_12_22	0	9	Car	visual
1BgsmndYANA_27_37	0,9	10,10	Car,Speech	audio
1BgsmndYANA_27_37	0	10	Car	visual
1CG8aPFUBOs_30_40	0	10	Car	audio
1CG8aPFUBOs_30_40	0	10	Car	visual
1DqXuuPiPho_240_250	0,3,0	2,7,10	Singing,Singing,Violin_fiddle	audio
1DqXuuPiPho_240_250	0,3,0	2,7,10	Singing,Singing,Violin_fiddle	visual
1ErafvijpM4_10_20	0	10	Car	audio
1ErafvijpM4_10_20	0	10	Car	visual
1F93M55BYbM_3_13	0	10	Car	audio
1F93M55BYbM_3_13	0,5	10,10	Car,Motorcycle	visual
1FKNzvUjZPw_30_40	0	10	Helicopter	audio
1FKNzvUjZPw_30_40	0	10	Helicopter	visual
1FkR8wkSGU8_30_40	0,1,8	10,5,10	Car,Speech,Speech	audio
1FkR8wkSGU8_30_40	0	10	Car	visual
1FlvObIkYvo_10_20	0,5,9	10,6,10	Car,Speech,Speech	audio
1FlvObIkYvo_10_20	0	10	Car	visual
1H0fdBjsZHc_30_40	0	10	Helicopter	audio
1H0fdBjsZHc_30_40	0	10	Helicopter	visual
1I3NxY6OZ5E_28_38	0	10	Car	audio
1I3NxY6OZ5E_28_38	0	10	Car	visual
1Lf1fIO2H2c_120_130	0,0	10,10	Cello,Violin_fiddle	audio
1Lf1fIO2H2c_120_130	0,0	10,4	Cello,Violin_fiddle	visual
1MMFztEi-Hk_240_250	0,2	10,10	Blender,Speech	audio
1MMFztEi-Hk_240_250	0,2	10,10	Blender,Speech	visual
1My2TdVmCsg_5_15	0	10	Car	audio
1My2TdVmCsg_5_15	0	10	Car	visual
1NAoH6dROvo_30_40	0	10	Cheering	audio
1NAoH6dROvo_30_40	0	10	Cheering	visual
1O0nWgEa8_w_30_40	0,9	10,10	Car,Speech	audio
1O0nWgEa8_w_30_40	0	10	Car	visual
1P-cBqOVT24_10_20	0	10	Car	audio
1P-cBqOVT24_10_20	0	10	Car	visual
1PW3CB-gkHk_30_40	0	10	Car	audio
1PW3CB-gkHk_30_40	0	10	Car	visual
1PflWBiH0m4_10_20	0,0	10,10	Car,Motorcycle	audio
1PflWBiH0m4_10_20	0,0,6	10,3,10	Car,Motorcycle,Motorcycle	visual
1Qcxwho5ZLQ_30_40	0	10	Accordion	audio
1Qcxwho5ZLQ_30_40	0	10	Accordion	visual
1RJsIRC9sVg_30_40	0	10	Car	audio
1RJsIRC9sVg_30_40	0	10	Car	visual
1S9eqzFk-IE_80_90	0	10	Helicopter	audio
1S9eqzFk-IE_80_90	0,3	1,10	Helicopter,Helicopter	visual
1SVwE8mtUG8_290_300	0,2	9,5	Chainsaw,Speech	audio
1SVwE8mtUG8_290_300	0	10	Chainsaw	visual
1TI0hV-FkKg_30_40	0	10	Car	audio
1TI0hV-FkKg_30_40	0	10	Car	visual
1TsbyCeoZ_E_30_40	0,0,6	10,1,10	Car,Speech,Speech	audio
1TsbyCeoZ_E_30_40	0	10	Car	visual
1TzFK50oG_g_0_10	0	10	Car	audio
1TzFK50oG_g_0_10	0	10	Car	visual
1VJRQfad9RM_30_40	0	10	Car	audio
1VJRQfad9RM_30_40	0	10	Car	visual
1W1G5xI6fdE_21_31	0,2,1	3,5,9	Car,Singing,Speech	audio
1W1G5xI6fdE_21_31	0	5	Car	visual
1XFai_UlKrY_20_30	0	10	Car	audio
1XFai_UlKrY_20_30	0	10	Car	visual
1XaDmkM-AAw_150_160	0,0	10,10	Acoustic_guitar,Violin_fiddle	audio
1XaDmkM-AAw_150_160	0,0	10,10	Acoustic_guitar,Violin_fiddle	visual
1Y5nXF9O1Ds_420_430	0	10	Car	audio
1Y5nXF9O1Ds_420_430	0	10	Car	visual
1ZDVv5aNQfk_30_40	0	10	Car	audio
1ZDVv5aNQfk_30_40	0	10	Car	visual
1asrcrzsvuo_160_170	0,2	10,3	Blender,Speech	audio
1asrcrzsvuo_160_170	0	10	Blender	visual
1cpo-8IgL2c_120_130	0,6,1	10,10,3	Cheering,Clapping,Clapping	audio
1cpo-8IgL2c_120_130	6,6	10,10	Cheering,Clapping	visual
1dXi63XBCOg_140_150	3	10	Singing	audio
1dXi63XBCOg_140_150	3	10	Singing	visual
1eLSrZhUwCM_30_40	0,8	10,10	Car,Speech	audio
1eLSrZhUwCM_30_40	0	10	Car	visual
1eOhQvtQHm0_160_170	0,1,6	10,3,10	Blender,Speech,Speech	audio
1eOhQvtQHm0_160_170	0,1,6	10,3,10	Blender,Speech,Speech	visual
1eZeaT7IfE4_4_14	0,2,4,6	10,3,5,9	Car,Speech,Speech,Speech	audio
1eZeaT7IfE4_4_14	0	10	Car	visual
1easzswv0OM_130_140	0,0,6	7,2,10	Blender,Speech,Speech	audio
1easzswv0OM_130_140	0	10	Blender	visual
1efQ-Expp4s_50_60	7,1	10,6	Vacuum_cleaner,Speech	audio
1efQ-Expp4s_50_60	0	10	Vacuum_cleaner	visual
1ewB56vAp7I_480_490	0,3,8	10,6,10	Vacuum_cleaner,Speech,Speech	audio
1ewB56vAp7I_480_490	0,9	4,10	Vacuum_cleaner,Vacuum_cleaner	visual
1jxqWh8kOgI_140_150	0	10	Helicopter	audio
1jxqWh8kOgI_140_150	0,8	8,10	Helicopter,Car	visual
1sF3r4jqCKI_30_40	0	10	Violin_fiddle	audio
1sF3r4jqCKI_30_40	0,0	10,10	Violin_fiddle,Acoustic_guitar	visual
1uy12CfHhDk_170_180	0,0,7	10,5,9	Acoustic_guitar,Singing,Singing	audio
1uy12CfHhDk_170_180	0	10	Acoustic_guitar	visual
1v8tkB9u7DI_10_20	0,1,7	10,5,9	Fire_alarm,Fire_alarm,Fire_alarm	audio
1v8tkB9u7DI_10_20	0	5	Fire_alarm	visual
1vQbUPX0-TY_140_150	0,3,0	1,10,10	Speech,Singing,Banjo	audio
1vQbUPX0-TY_140_150	0,0,3	10,1,10	Banjo,Speech,Singing	visual
1vdboF6KhB0_30_40	0,0	10,2	Car,Speech	audio
1vdboF6KhB0_30_40	0	10	Car	visual
1yoC00ssaXo_10_20	0,5	2,10	Chicken_rooster,Chicken_rooster	audio
1yoC00ssaXo_10_20	8	10	Chicken_rooster	visual
1ypY7k2Biao_90_100	0,1,7,0	10,8,10,10	Acoustic_guitar,Singing,Speech,Accordion	audio
1ypY7k2Biao_90_100	0,1,7	10,8,10	Accordion,Singing,Speech	visual
20ysZc0Bp5o_10_20	0,9	7,10	Chicken_rooster,Chicken_rooster	audio
20ysZc0Bp5o_10_20	0	10	Chicken_rooster	visual
21-5dmhWaS0_1_11	0,2,5,8	1,3,7,10	Telephone_bell_ringing,Telephone_bell_ringing,Telephone_bell_ringing,Telephone_bell_ringing	audio
21-5dmhWaS0_1_11	0	10	Telephone_bell_ringing	visual
28WMzKS8Mvg_40_50	0	10	Vacuum_cleaner	audio
28WMzKS8Mvg_40_50	0	10	Vacuum_cleaner	visual
28c_azOmujY_20_30	0	10	Vacuum_cleaner	audio
28c_azOmujY_20_30	0	10	Vacuum_cleaner	visual
2D2rAWKavS0_29_39	0	10	Helicopter	audio
2D2rAWKavS0_29_39	0	10	Helicopter	visual
2GNao3a40A4_30_40	0	10	Car	audio
2GNao3a40A4_30_40	0	10	Car	visual
2GfYNfKtpK0_30_40	0	10	Chainsaw	audio
2GfYNfKtpK0_30_40	0	10	Chainsaw	visual
2Lg4zowpNxE_30_40	0	10	Vacuum_cleaner	audio
2Lg4zowpNxE_30_40	0	10	Vacuum_cleaner	visual
2Lv-dLVRsaI_30_40	0,4	7,10	Speech,Car	audio
2Lv-dLVRsaI_30_40	0	10	Car	visual
2M4NSG-8NVw_30_40	0	10	Accordion	audio
2M4NSG-8NVw_30_40	0	10	Accordion	visual
2MCyHJKRLYA_20_30	0,0	10,10	Singing,Cheering	audio
2MCyHJKRLYA_20_30	0	10	Cheering	visual
2NRDi8g-6Qk_200_210	0	10	Fire_alarm	audio
2NRDi8g-6Qk_200_210	0	5	Fire_alarm	visual
2Ntn4KCnUqc_100_110	0,3	10,4	Singing,Cheering	audio
2Ntn4KCnUqc_100_110	0	10	Singing	visual
2OJw3xGALI4_60_70	0	10	Vacuum_cleaner	audio
2OJw3xGALI4_60_70	0	10	Vacuum_cleaner	visual
2QB4g9ZeJmw_60_70	0,0	10,10	Cheering,Clapping	audio
2QB4g9ZeJmw_60_70	0,0	10,10	Cheering,Clapping	visual
2QCkooK5ZuY_30_40	0	10	Speech	audio
2QCkooK5ZuY_30_40	0,1	10,6	Car,Speech	visual
2S5nRkhDT9M_240_250	0	10	Accordion	audio
2S5nRkhDT9M_240_250	0	10	Accordion	visual
2TIrLDa9ilo_90_100	0	10	Singing	audio
2TIrLDa9ilo_90_100	0	10	Singing	visual
2U6WeaRLEds_140_150	2,6,9,0,5	5,8,10,3,8	Speech,Speech,Speech,Blender,Blender	audio
2U6WeaRLEds_140_150	0,2,6,9	10,5,8,10	Blender,Speech,Speech,Speech	visual
2U6aYsjc1UM_130_140	0,9,1,6	7,10,3,10	Speech,Speech,Blender,Blender	audio
2U6aYsjc1UM_130_140	0,0,9	10,7,10	Blender,Speech,Speech	visual
2UZmUuUPqr8_90_100	0,6	10,10	Frying_(food),Speech	audio
2UZmUuUPqr8_90_100	0	10	Frying_(food)	visual
2UjAPgJudZU_100_110	0	10	Car	audio
2UjAPgJudZU_100_110	0	10	Car	visual
2UmXe6lOblE_30_40	0,3	10,7	Car,Speech	audio
2UmXe6lOblE_30_40	0	10	Car	visual
2UqkPdlcL9M_160_170	1,0	8,10	Speech,Car	audio
2UqkPdlcL9M_160_170	0	8	Car	visual
2UuUxUmhugo_0_10	0	10	Chainsaw	audio
2UuUxUmhugo_0_10	0	10	Chainsaw	visual
2VBTz0clX0U_60_70	0,0,6,0,6	10,3,10,3,10	Singing,Cello,Cello,Violin_fiddle,Violin_fiddle	audio
2VBTz0clX0U_60_70	0,0,0	10,10,10	Violin_fiddle,Cello,Singing	visual
2WjjywPOwuE_10_20	0,0,5	10,2,6	Basketball_bounce,Speech,Speech	audio
2WjjywPOwuE_10_20	0	10	Basketball_bounce	visual
2YJMfQdcVhY_180_190	0,3	10,9	Fire_alarm,Speech	audio
2YJMfQdcVhY_180_190	0,4	2,8	Fire_alarm,Cat	visual
2YMj5Li-_mU_140_150	0,0,9	10,8,10	Car,Speech,Speech	audio
2YMj5Li-_mU_140_150	0	10	Car	visual
2ZVFpnkD35M_10_20	0	10	Singing	audio
2ZVFpnkD35M_10_20	0	10	Car	visual
2_AFIyj9N_I_120_130	0	10	Singing	audio
2_AFIyj9N_I_120_130	6	10	Singing	visual
2aZlrW4h7Do_20_30	0	10	Singing	audio
2aZlrW4h7Do_20_30	0	10	Singing	visual
2cxmB7Zx6Po_4_14	0	9	Speech	audio
2cxmB7Zx6Po_4_14	0	9	Car	visual
2d8NZkctxm8_30_40	0,0	10,10	Speech,Car	audio
2d8NZkctxm8_30_40	0,3	10,6	Car,Speech	visual
2dBLvucCdj4_160_170	0,1,4,7,8	10,4,7,8,10	Cat,Baby_laughter,Speech,Baby_laughter,Speech	audio
2dBLvucCdj4_160_170	0,1,4,7,8	10,4,7,8,10	Cat,Baby_laughter,Speech,Baby_laughter,Speech	visual
2dih3AAlObo_10_20	1,4,6,0	2,5,7,6	Basketball_bounce,Basketball_bounce,Basketball_bounce,Speech	audio
2dih3AAlObo_10_20	1,4,6	2,5,7	Basketball_bounce,Basketball_bounce,Basketball_bounce	visual
2eCf9vVEnX8_19_29	0,6	4,9	Car,Speech	audio
2eCf9vVEnX8_19_29	0	6	Car	visual
2faB83bZ0B4_80_90	0	10	Singing	audio
2faB83bZ0B4_80_90	3,8	7,10	Singing,Singing	visual
2h_AK0OQ42o_30_40	0,0,2	10,1,9	Car,Speech,Speech	audio
2h_AK0OQ42o_30_40	0	10	Car	visual
2i82jVZy1pk_100_110	4	8	Baby_laughter	audio
2i82jVZy1pk_100_110	4	8	Baby_laughter	visual
2j2c4g39q14_60_70	0,7,4	6,10,7	Speech,Speech,Cheering	audio
