filename	onset	offset	event_labels	visual_labels	audio_labels	modality	has_visual	has_audio
-3G-bs5JaW8_100_110	8	9	Vacuum_cleaner		Vacuum_cleaner	multimodal	False	True
-3M-k4nIYIM_30_40	0	1	Car	Car	Car	multimodal	True	True
-3M-k4nIYIM_30_40	1	2	Speech,Car	Car	Car,Speech	multimodal	True	True
-3M-k4nIYIM_30_40	2	3	Car		Car	multimodal	False	True
-3M-k4nIYIM_30_40	3	4	Car	Car	Car	multimodal	True	True
-3M-k4nIYIM_30_40	4	6	Speech,Car	Car	Car,Speech	multimodal	True	True
-3M-k4nIYIM_30_40	6	7	Car	Car	Car	multimodal	True	True
-3M-k4nIYIM_30_40	7	8	Speech,Car	Car	Speech	multimodal	True	True
-3M-k4nIYIM_30_40	8	9	Car	Car		multimodal	True	False
-3M-k4nIYIM_30_40	9	10	Speech,Car	Car	Speech	multimodal	True	True
-3zSILamaBM_16_26	0	8	Chainsaw	Chainsaw	Chainsaw	multimodal	True	True
-3zSILamaBM_16_26	8	10	Chainsaw		Chainsaw	multimodal	False	True
-5uuZRObZH4_8_18	0	5	Car	Car	Car	multimodal	True	True
-5uuZRObZH4_8_18	5	6	Speech,Car	Car	Car,Speech	multimodal	True	True
-5uuZRObZH4_8_18	6	7	Car	Car	Car	multimodal	True	True
-5uuZRObZH4_8_18	7	10	Car		Car	multimodal	False	True
-7tDh-UQR7Q_50_60	0	1	Violin_fiddle,Cello	Cello,Violin_fiddle	Cello,Violin_fiddle	multimodal	True	True
-7tDh-UQR7Q_50_60	1	4	Singing,Violin_fiddle,Cello	Cello,Violin_fiddle,Singing	Cello,Violin_fiddle,Singing	multimodal	True	True
-7tDh-UQR7Q_50_60	4	10	Singing,Violin_fiddle,Cello	Singing	Cello,Violin_fiddle,Singing	multimodal	True	True
-7yHd8yVL7o_10_20	0	10	Car	Car	Car	multimodal	True	True
-8J-J79jkIE_30_40	0	10	Car	Car	Car	multimodal	True	True
-9D8GR2VBKE_40_50	0	2	Speech,Frying_(food)		Frying_(food),Speech	multimodal	False	True
-9D8GR2VBKE_40_50	2	3	Frying_(food)		Frying_(food)	multimodal	False	True
-9D8GR2VBKE_40_50	3	4	Speech,Frying_(food)		Frying_(food),Speech	multimodal	False	True
-9D8GR2VBKE_40_50	4	9	Frying_(food)		Frying_(food)	multimodal	False	True
-9D8GR2VBKE_40_50	9	10	Frying_(food)	Frying_(food)	Frying_(food)	multimodal	True	True
-9b-N3vQj2k_30_40	3	10	Cheering	Cheering	Cheering	multimodal	True	True
-9ummbDsgFM_30_40	0	1	Chainsaw		Chainsaw	multimodal	False	True
-9ummbDsgFM_30_40	1	10	Chainsaw	Chainsaw	Chainsaw	multimodal	True	True
00m3AbSa21M_550_560	0	1	Speech,Blender	Blender	Speech	multimodal	True	True
00m3AbSa21M_550_560	1	2	Blender	Blender		multimodal	True	False
00m3AbSa21M_550_560	2	8	Speech,Blender	Blender	Speech	multimodal	True	True
00m3AbSa21M_550_560	8	10	Speech,Blender	Blender	Speech,Blender	multimodal	True	True
00v4G1YbJAE_30_40	0	1	Lawn_mower	Lawn_mower	Lawn_mower	multimodal	True	True
00v4G1YbJAE_30_40	1	5	Speech,Lawn_mower	Lawn_mower	Lawn_mower,Speech	multimodal	True	True
00v4G1YbJAE_30_40	5	10	Lawn_mower	Lawn_mower	Lawn_mower	multimodal	True	True
01zSTM-3yjk_10_20	0	2	Vacuum_cleaner,Speech	Vacuum_cleaner	Vacuum_cleaner,Speech	multimodal	True	True
01zSTM-3yjk_10_20	2	7	Vacuum_cleaner	Vacuum_cleaner	Vacuum_cleaner	multimodal	True	True
01zSTM-3yjk_10_20	7	10	Vacuum_cleaner,Speech	Vacuum_cleaner	Vacuum_cleaner,Speech	multimodal	True	True
0292kQJnKos_30_40	0	4	Speech	Speech	Speech	multimodal	True	True
0292kQJnKos_30_40	4	7	Cheering		Cheering	multimodal	False	True
0292kQJnKos_30_40	7	8	Cheering	Cheering	Cheering	multimodal	True	True
0292kQJnKos_30_40	8	10	Cheering		Cheering	multimodal	False	True
04I1mfPeAng_30_40	0	1	Car	Car	Car	multimodal	True	True
04I1mfPeAng_30_40	1	6	Speech,Car	Car	Car,Speech	multimodal	True	True
04I1mfPeAng_30_40	6	10	Car	Car	Car	multimodal	True	True
04TYhV8SKZ0_30_40	0	5	Singing	Singing	Singing	multimodal	True	True
04TYhV8SKZ0_30_40	6	10	Singing	Singing	Singing	multimodal	True	True
050iiMJKE20_180_190	0	1	Speech		Speech	multimodal	False	True
050iiMJKE20_180_190	1	4	Speech,Helicopter	Helicopter	Speech	multimodal	True	True
050iiMJKE20_180_190	4	5	Speech		Speech	multimodal	False	True
050iiMJKE20_180_190	5	7	Chainsaw	Chainsaw	Chainsaw	multimodal	True	True
050iiMJKE20_180_190	7	10	Speech,Chainsaw	Chainsaw	Speech	multimodal	True	True
052B1KqZNvc_30_40	0	4	Singing,Car	Car	Car,Singing	multimodal	True	True
052B1KqZNvc_30_40	4	7	Car	Car	Car	multimodal	True	True
052B1KqZNvc_30_40	7	8	Speech,Car	Car	Car,Speech	multimodal	True	True
052B1KqZNvc_30_40	8	10	Car	Car	Car	multimodal	True	True
05pbHOqMVtg_140_150	0	10	Helicopter	Helicopter	Helicopter	multimodal	True	True
06xprMsre2M_80_90	0	3	Blender	Blender	Blender	multimodal	True	True
06xprMsre2M_80_90	3	4	Speech,Blender	Blender	Blender,Speech	multimodal	True	True
06xprMsre2M_80_90	4	5	Blender	Blender	Blender	multimodal	True	True
06xprMsre2M_80_90	5	7	Speech,Blender	Blender	Blender,Speech	multimodal	True	True
06xprMsre2M_80_90	7	8	Blender	Blender	Blender	multimodal	True	True
06xprMsre2M_80_90	8	10	Speech,Blender	Blender	Blender,Speech	multimodal	True	True
07QDI50hlec_50_60	0	1	Vacuum_cleaner	Vacuum_cleaner	Vacuum_cleaner	multimodal	True	True
0A-Y2CvbVMs_30_40	0	10	Accordion	Accordion	Accordion	multimodal	True	True
0AuRaeswC-8_20_30	0	4	Speech,Chicken_rooster	Chicken_rooster	Speech	multimodal	True	True
0AuRaeswC-8_20_30	4	5	Speech,Chicken_rooster	Chicken_rooster	Chicken_rooster,Speech	multimodal	True	True
0AuRaeswC-8_20_30	5	10	Chicken_rooster	Chicken_rooster	Chicken_rooster	multimodal	True	True
0DvICv9rCkM_70_80	0	4	Vacuum_cleaner	Vacuum_cleaner		multimodal	True	False
0DvICv9rCkM_70_80	4	7	Vacuum_cleaner	Vacuum_cleaner	Vacuum_cleaner	multimodal	True	True
0DvICv9rCkM_70_80	7	10	Vacuum_cleaner	Vacuum_cleaner		multimodal	True	False
0EcfL54lGUA_30_40	0	5	Speech,Car	Car	Car,Speech	multimodal	True	True
0EcfL54lGUA_30_40	5	7	Car	Car	Car	multimodal	True	True
0EcfL54lGUA_30_40	7	8	Cheering,Car,Clapping	Car,Cheering	Car,Clapping,Cheering	multimodal	True	True
0EcfL54lGUA_30_40	8	9	Cheering,Car,Clapping	Cheering	Car,Clapping,Cheering	multimodal	True	True
0EcfL54lGUA_30_40	9	10	Cheering,Car,Clapping	Clapping,Cheering	Car,Clapping,Cheering	multimodal	True	True
0F2XPtG9pJM_30_40	2	8	Violin_fiddle	Violin_fiddle		multimodal	True	False
0F2XPtG9pJM_30_40	8	10	Violin_fiddle	Violin_fiddle	Violin_fiddle	multimodal	True	True
0Fc42_i3G80_100_110	0	1	Vacuum_cleaner,Speech		Vacuum_cleaner,Speech	multimodal	False	True
0Fc42_i3G80_100_110	1	10	Vacuum_cleaner	Vacuum_cleaner	Vacuum_cleaner,Vacuum_cleaner	multimodal	True	True
0Ft06J1FdAo_420_430	0	10	Cheering	Cheering	Cheering	multimodal	True	True
0J3OzIVLnEI_50_60	0	10	Chicken_rooster	Chicken_rooster	Chicken_rooster	multimodal	True	True
0JAGPDtKZ68_350_360	0	1	Speech,Cheering,Clapping		Speech,Cheering,Clapping	multimodal	False	True
0JAGPDtKZ68_350_360	1	3	Speech,Cheering		Speech,Cheering	multimodal	False	True
0JAGPDtKZ68_350_360	3	5	Speech,Cheering,Clapping		Speech,Cheering,Clapping	multimodal	False	True
0JAGPDtKZ68_350_360	5	10	Cheering,Clapping	Cheering	Cheering,Clapping	multimodal	True	True
0OD_03N7XTQ_250_260	0	3	Speech,Clapping	Speech,Clapping	Speech,Clapping	multimodal	True	True
0OD_03N7XTQ_250_260	3	10	Speech	Speech	Speech	multimodal	True	True
0PxvBPOjDKI_30_40	0	8	Chainsaw	Chainsaw	Chainsaw	multimodal	True	True
0PxvBPOjDKI_30_40	8	10	Chainsaw		Chainsaw	multimodal	False	True
0QFpWAP8fPs_390_400	0	4	Cheering,Clapping	Cheering,Clapping	Cheering	multimodal	True	True
0QFpWAP8fPs_390_400	4	6	Cheering,Clapping	Cheering,Clapping	Cheering,Clapping	multimodal	True	True
0QFpWAP8fPs_390_400	6	8	Cheering,Clapping	Cheering,Clapping	Cheering	multimodal	True	True
0QFpWAP8fPs_390_400	8	10	Speech,Cheering,Clapping	Cheering,Clapping	Cheering,Speech	multimodal	True	True
0QPnouN3Hq8_30_40	0	5	Speech,Car	Car	Car,Speech	multimodal	True	True
0QPnouN3Hq8_30_40	5	6	Car	Car	Car	multimodal	True	True
0QPnouN3Hq8_30_40	6	8	Speech,Car	Car	Car,Speech	multimodal	True	True
0QPnouN3Hq8_30_40	8	10	Car	Car	Car	multimodal	True	True
0QXKGC5bXno_30_40	0	10	Violin_fiddle,Cello	Cello,Violin_fiddle	Cello,Violin_fiddle	multimodal	True	True
0RFa3yJRuDg_80_90	0	10	Cheering	Cheering	Cheering	multimodal	True	True
0SavSPZveDc_380_390	0	10	Speech	Speech	Speech	multimodal	True	True
0T4gZQwzyKY_30_40	0	8	Cheering	Cheering		multimodal	True	False
0T4gZQwzyKY_30_40	8	9	Cheering,Clapping	Cheering,Clapping		multimodal	True	False
0T4gZQwzyKY_30_40	9	10	Cheering,Clapping	Cheering	Clapping	multimodal	True	True
0ULOk49bHkI_180_190	0	2	Speech,Car	Car	Car,Speech	multimodal	True	True
0ULOk49bHkI_180_190	2	3	Car	Car	Car	multimodal	True	True
0ULOk49bHkI_180_190	3	4	Speech,Car	Car	Car,Speech	multimodal	True	True
0ULOk49bHkI_180_190	4	10	Car	Car	Car	multimodal	True	True
0W1sdHWIuAs_30_40	0	2	Dog	Dog	Dog	multimodal	True	True
0W1sdHWIuAs_30_40	2	4	Dog	Dog		multimodal	True	False
0W1sdHWIuAs_30_40	4	8	Dog	Dog	Dog	multimodal	True	True
0W1sdHWIuAs_30_40	8	10	Dog	Dog		multimodal	True	False
0XLFf3Qvahw_30_40	0	1	Car	Car	Car	multimodal	True	True
0XLFf3Qvahw_30_40	1	2	Speech,Car	Car	Car,Speech	multimodal	True	True
0XLFf3Qvahw_30_40	2	8	Car	Car	Car	multimodal	True	True
0XLFf3Qvahw_30_40	8	10	Speech,Car	Car	Car,Speech	multimodal	True	True
0YErPHsAxWM_80_90	0	4	Car	Car	Car	multimodal	True	True
0YErPHsAxWM_80_90	4	10	Speech,Car	Car	Car,Speech	multimodal	True	True
0ZAR-Tbrv3s_150_160	7	10	Singing	Singing	Singing	multimodal	True	True
0Zn0yN14eh8_230_240	5	9	Chainsaw	Chainsaw		multimodal	True	False
0Zn0yN14eh8_230_240	9	10	Chainsaw		Chainsaw	multimodal	False	True
0_MLIPfb84s_30_40	0	1	Violin_fiddle,Acoustic_guitar	Violin_fiddle,Acoustic_guitar	Acoustic_guitar	multimodal	True	True
0_MLIPfb84s_30_40	1	10	Violin_fiddle,Acoustic_guitar	Violin_fiddle,Acoustic_guitar	Violin_fiddle,Acoustic_guitar	multimodal	True	True
0aVst7GNuVM_30_40	0	10	Car	Car	Car	multimodal	True	True
0bNb6oHg1_w_21_31	0	10	Speech,Car	Car	Car,Speech	multimodal	True	True
0dVXlandefw_4_14	0	4	Car	Car	Car	multimodal	True	True
0dVXlandefw_4_14	4	6	Speech,Car	Car	Car,Speech	multimodal	True	True
0dVXlandefw_4_14	6	7	Speech,Car	Car	Car,Speech	multimodal	True	True
0dVXlandefw_4_14	7	10	Car	Car	Car	multimodal	True	True
0dZis656VIo_30_40	0	10	Speech,Car	Car	Car,Speech	multimodal	True	True
0dgKhlejMJ8_350_360	0	10	Violin_fiddle,Cello	Cello,Violin_fiddle	Cello,Violin_fiddle	multimodal	True	True
0dhEeSX-59I_25_35	0	10	Car	Car	Car	multimodal	True	True
0eAGbJEQhJ8_0_10	0	1	Speech,Car	Car	Speech	multimodal	True	True
0eAGbJEQhJ8_0_10	1	5	Car	Car		multimodal	True	False
0eAGbJEQhJ8_0_10	5	8	Speech,Car	Car	Speech	multimodal	True	True
0eAGbJEQhJ8_0_10	8	9	Car	Car		multimodal	True	False
0eAGbJEQhJ8_0_10	9	10	Speech,Car	Car	Speech	multimodal	True	True
0eLC4aFPpng_30_40	0	10	Car	Car	Car	multimodal	True	True
0eaafXX-pPE_30_40	0	3	Baby_laughter	Baby_laughter	Baby_laughter	multimodal	True	True
0eaafXX-pPE_30_40	3	4	Baby_laughter,Speech	Baby_laughter	Baby_laughter,Speech	multimodal	True	True
0eaafXX-pPE_30_40	4	6	Speech		Speech	multimodal	False	True
0eaafXX-pPE_30_40	6	8	Baby_laughter	Baby_laughter	Baby_laughter	multimodal	True	True
0eaafXX-pPE_30_40	8	10	Speech		Speech	multimodal	False	True
0ehyZCP7iuQ_80_90	0	10	Vacuum_cleaner	Vacuum_cleaner	Vacuum_cleaner	multimodal	True	True
0elWYlc8shc_30_40	0	10	Car	Car	Car	multimodal	True	True
0ezR24_jTDA_70_80	0	3	Basketball_bounce,Speech	Basketball_bounce	Basketball_bounce,Speech	multimodal	True	True
0ezR24_jTDA_70_80	3	5	Basketball_bounce	Basketball_bounce	Basketball_bounce	multimodal	True	True
0ezR24_jTDA_70_80	7	10	Speech	Speech	Speech	multimodal	True	True
0fLcfpmn38I_30_40	0	10	Car	Car	Car	multimodal	True	True
0g-L2iF5y9k_140_150	0	2	Acoustic_guitar	Acoustic_guitar		multimodal	True	False
0g-L2iF5y9k_140_150	2	4	Acoustic_guitar,Clapping	Acoustic_guitar	Clapping	multimodal	True	True
0g-L2iF5y9k_140_150	4	5	Cheering,Acoustic_guitar,Clapping	Acoustic_guitar	Clapping,Cheering	multimodal	True	True
0g-L2iF5y9k_140_150	5	8	Speech,Acoustic_guitar,Clapping	Acoustic_guitar	Clapping,Speech	multimodal	True	True
0g-L2iF5y9k_140_150	8	9	Acoustic_guitar,Clapping	Acoustic_guitar	Clapping	multimodal	True	True
0g-L2iF5y9k_140_150	9	10	Acoustic_guitar	Acoustic_guitar		multimodal	True	False
0gJPpZXeGms_10_20	0	2	Car,Dog	Dog,Car	Car	multimodal	True	True
0gJPpZXeGms_10_20	2	10	Car,Dog	Dog,Car	Car,Dog	multimodal	True	True
0gfxwS7Wla8_30_40	0	5	Car	Car	Car	multimodal	True	True
0gfxwS7Wla8_30_40	5	8	Speech,Car	Car	Car,Speech	multimodal	True	True
0gfxwS7Wla8_30_40	8	10	Car	Car	Car	multimodal	True	True
0gmLAVhaTKE_5_15	0	7	Car	Car	Car	multimodal	True	True
0gmLAVhaTKE_5_15	7	10	Car		Car	multimodal	False	True
0hE-lduyMng_150_160	0	1	Frying_(food)	Frying_(food)	Frying_(food)	multimodal	True	True
0hE-lduyMng_150_160	1	5	Speech,Frying_(food)	Frying_(food)	Frying_(food),Speech	multimodal	True	True
0hE-lduyMng_150_160	5	6	Frying_(food)	Frying_(food)	Frying_(food)	multimodal	True	True
0hE-lduyMng_150_160	6	10	Speech,Frying_(food)	Frying_(food)	Frying_(food),Speech	multimodal	True	True
0iEtuM3NEKw_30_40	0	10	Car	Car	Car	multimodal	True	True
0iS6S7e_j8Q_20_30	0	4	Singing,Clapping		Clapping,Singing	multimodal	False	True
0iS6S7e_j8Q_20_30	4	10	Singing,Clapping	Singing	Clapping,Singing	multimodal	True	True
0ioAyzjtiZI_30_40	0	10	Car	Car	Car	multimodal	True	True
0kAaPH2wrvM_140_150	0	2	Vacuum_cleaner	Vacuum_cleaner	Vacuum_cleaner	multimodal	True	True
0kAaPH2wrvM_140_150	2	5	Vacuum_cleaner,Speech	Vacuum_cleaner	Vacuum_cleaner,Speech	multimodal	True	True
0kAaPH2wrvM_140_150	5	7	Vacuum_cleaner	Vacuum_cleaner	Vacuum_cleaner	multimodal	True	True
0kAaPH2wrvM_140_150	7	9	Vacuum_cleaner,Speech	Vacuum_cleaner	Vacuum_cleaner,Speech	multimodal	True	True
0kAaPH2wrvM_140_150	9	10	Vacuum_cleaner	Vacuum_cleaner	Vacuum_cleaner	multimodal	True	True
0kNHMn3a6BM_30_40	0	2	Car	Car		multimodal	True	False
0kNHMn3a6BM_30_40	2	5	Speech,Car	Car	Speech	multimodal	True	True
0kNHMn3a6BM_30_40	5	9	Car	Car		multimodal	True	False
0kNHMn3a6BM_30_40	9	10	Speech,Car	Car	Speech	multimodal	True	True
0kWsQAObBjo_30_40	0	10	Speech,Cheering,Clapping	Cheering,Speech,Clapping	Cheering,Speech,Clapping	multimodal	True	True
0l4rszJ8M9E_90_100	0	10	Violin_fiddle,Banjo	Banjo,Violin_fiddle	Banjo,Violin_fiddle	multimodal	True	True
0lEavQUSRO4_410_420	0	3	Speech,Frying_(food)	Frying_(food)	Frying_(food),Speech	multimodal	True	True
0lEavQUSRO4_410_420	3	6	Frying_(food)	Frying_(food)	Frying_(food)	multimodal	True	True
0lEavQUSRO4_410_420	6	10	Speech,Frying_(food)	Frying_(food)	Frying_(food),Speech	multimodal	True	True
0lpXFLNGM5E_130_140	0	7	Dog	Dog		multimodal	True	False
0lpXFLNGM5E_130_140	7	10	Speech,Dog	Dog	Speech	multimodal	True	True
0mIwyFySgjs_30_40	0	2	Car	Car	Car	multimodal	True	True
0mIwyFySgjs_30_40	2	7	Car		Car	multimodal	False	True
0mIwyFySgjs_30_40	9	10	Car	Car	Car	multimodal	True	True
0mKRXJhlMb0_120_130	0	3	Chicken_rooster	Chicken_rooster	Chicken_rooster	multimodal	True	True
0mKRXJhlMb0_120_130	3	9	Chicken_rooster	Chicken_rooster		multimodal	True	False
0mKRXJhlMb0_120_130	9	10	Chicken_rooster	Chicken_rooster	Chicken_rooster	multimodal	True	True
0mMAgkJc9DM_60_70	0	6	Singing	Singing	Singing	multimodal	True	True
0mMAgkJc9DM_60_70	6	10	Singing		Singing	multimodal	False	True
0o-DD4GwohU_110_120	0	10	Vacuum_cleaner	Vacuum_cleaner	Vacuum_cleaner	multimodal	True	True
0oUbMWJgokM_170_180	0	1	Speech,Frying_(food)	Frying_(food)	Frying_(food),Speech	multimodal	True	True
0oUbMWJgokM_170_180	1	5	Frying_(food)	Frying_(food)	Frying_(food)	multimodal	True	True
0oUbMWJgokM_170_180	5	6	Speech,Frying_(food)	Frying_(food)	Frying_(food),Speech	multimodal	True	True
0oUbMWJgokM_170_180	6	7	Frying_(food)	Frying_(food)	Frying_(food)	multimodal	True	True
0oUbMWJgokM_170_180	7	10	Speech,Frying_(food)	Frying_(food)	Frying_(food),Speech	multimodal	True	True
0p9ClF5DXNo_160_170	0	9	Vacuum_cleaner,Cat	Vacuum_cleaner,Cat	Vacuum_cleaner	multimodal	True	True
0p9ClF5DXNo_160_170	9	10	Cat	Cat		multimodal	True	False
0qx_L11zBAY_30_40	0	10	Violin_fiddle,Cello	Cello,Violin_fiddle	Cello,Violin_fiddle	multimodal	True	True
0rrQS9Nt48s_180_190	0	2	Speech,Frying_(food)	Frying_(food)	Frying_(food),Speech	multimodal	True	True
0rrQS9Nt48s_180_190	2	7	Frying_(food)	Frying_(food)	Frying_(food)	multimodal	True	True
0rrQS9Nt48s_180_190	7	10	Speech,Frying_(food)	Frying_(food)	Frying_(food),Speech	multimodal	True	True
0sBkJR5Jads_8_18	0	7	Car	Car	Car	multimodal	True	True
0sBkJR5Jads_8_18	7	10	Car	Car		multimodal	True	False
0sqE1PT9w4E_0_10	0	9	Singing		Singing	multimodal	False	True
0sqE1PT9w4E_0_10	9	10	Singing	Singing	Singing	multimodal	True	True
0tL1Mc95WyY_3_13	0	10	Car	Car	Car	multimodal	True	True
0vlayD4ueuA_0_10	0	4	Chainsaw		Chainsaw	multimodal	False	True
0vlayD4ueuA_0_10	4	10	Chainsaw	Chainsaw	Chainsaw	multimodal	True	True
0wQpnBSQ4fY_350_360	0	4	Speech,Frying_(food)	Frying_(food)	Frying_(food),Speech	multimodal	True	True
0wQpnBSQ4fY_350_360	4	5	Frying_(food)	Frying_(food)	Frying_(food)	multimodal	True	True
0wQpnBSQ4fY_350_360	5	6	Speech,Frying_(food)		Frying_(food),Speech	multimodal	False	True
0wQpnBSQ4fY_350_360	6	10	Speech		Speech	multimodal	False	True
0x4ozoZB_2M_0_10	0	10	Chicken_rooster	Chicken_rooster	Chicken_rooster	multimodal	True	True
0xvGvc-zADE_30_40	0	10	Car	Car	Car	multimodal	True	True
0yCFCh8e10Y_10_20	0	10	Vacuum_cleaner	Vacuum_cleaner	Vacuum_cleaner	multimodal	True	True
0yW5XUGJsOU_8_18	0	5	Car	Car		multimodal	True	False
0yW5XUGJsOU_8_18	5	8	Car	Car	Car	multimodal	True	True
0yW5XUGJsOU_8_18	8	9	Speech	Speech	Speech	multimodal	True	True
0yleWcyPyx0_210_220	0	10	Lawn_mower	Lawn_mower	Lawn_mower	multimodal	True	True
0zAFUHzL5kU_23_33	0	1	Speech,Car	Car	Speech,Car	multimodal	True	True
0zAFUHzL5kU_23_33	1	6	Cheering,Car	Car	Cheering,Car	multimodal	True	True
0zAFUHzL5kU_23_33	6	8	Speech,Cheering,Car	Car	Speech,Cheering,Car	multimodal	True	True
0zAFUHzL5kU_23_33	8	10	Speech,Car	Car	Speech,Car	multimodal	True	True
1-VMTJRpjbE_150_160	1	2	Speech		Speech	multimodal	False	True
1-VMTJRpjbE_150_160	2	3	Fire_alarm,Speech	Fire_alarm	Speech	multimodal	True	True
1-VMTJRpjbE_150_160	3	4	Fire_alarm	Fire_alarm		multimodal	True	False
1-VMTJRpjbE_150_160	4	8	Fire_alarm	Fire_alarm	Fire_alarm	multimodal	True	True
1-VMTJRpjbE_150_160	8	10	Fire_alarm,Speech	Fire_alarm	Fire_alarm,Speech	multimodal	True	True
103Bq0x6Mkc_30_40	0	10	Car	Car	Car	multimodal	True	True
104Ghhu6mks_21_31	0	5	Speech,Car	Car	Speech	multimodal	True	True
104Ghhu6mks_21_31	5	6	Speech,Car	Car	Speech,Car	multimodal	True	True
104Ghhu6mks_21_31	6	9	Speech,Car	Car	Speech	multimodal	True	True
104Ghhu6mks_21_31	9	10	Car	Car		multimodal	True	False
10e2PY0WjPY_30_40	0	10	Car	Car	Car	multimodal	True	True
10lI3fjFrBU_30_40	0	1	Speech,Car	Car	Speech	multimodal	True	True
10lI3fjFrBU_30_40	1	2	Singing,Speech,Car	Car	Speech,Singing	multimodal	True	True
10lI3fjFrBU_30_40	2	4	Singing,Car	Car	Singing	multimodal	True	True
10lI3fjFrBU_30_40	4	6	Singing,Car	Car	Singing	multimodal	True	True
10lI3fjFrBU_30_40	6	10	Speech,Car	Car	Speech	multimodal	True	True
12-uDhDhWOk_30_40	0	10	Car	Car	Car	multimodal	True	True
12eWNawPekw_30_40	0	10	Car,Helicopter	Helicopter,Car	Helicopter	multimodal	True	True
13jJ1DHgJgI_30_40	0	1	Car	Car	Car	multimodal	True	True
13jJ1DHgJgI_30_40	1	10	Car		Car	multimodal	False	True
14ekd4nkpwc_28_38	0	9	Baby_cry_infant_cry	Baby_cry_infant_cry	Baby_cry_infant_cry	multimodal	True	True
14lfcY6CwZY_30_40	0	10	Speech,Car	Speech,Car	Speech,Car	multimodal	True	True
14xiJ2TAfI0_430_440	0	6	Speech	Speech	Speech	multimodal	True	True
14xiJ2TAfI0_430_440	6	8	Clapping		Clapping	multimodal	False	True
15qmhCMftso_70_80	0	8	Violin_fiddle,Accordion	Accordion,Violin_fiddle	Accordion,Violin_fiddle	multimodal	True	True
15qmhCMftso_70_80	8	10	Violin_fiddle,Accordion	Accordion	Accordion,Violin_fiddle	multimodal	True	True
16k-hKzQqKc_270_280	0	10	Helicopter	Helicopter	Helicopter	multimodal	True	True
187cVfWpf6Q_100_110	0	10	Helicopter	Helicopter	Helicopter	multimodal	True	True
18Upv_ZinJ0_90_100	0	2	Vacuum_cleaner,Speech	Vacuum_cleaner	Speech	multimodal	True	True
18Upv_ZinJ0_90_100	2	10	Vacuum_cleaner	Vacuum_cleaner	Vacuum_cleaner	multimodal	True	True
18XhuufODY0_30_40	0	4	Singing,Cheering	Cheering	Cheering,Singing	multimodal	True	True
18XhuufODY0_30_40	5	10	Speech	Speech	Speech	multimodal	True	True
18ga5cnUrmk_80_90	0	10	Speech,Frying_(food)	Frying_(food)	Frying_(food),Speech	multimodal	True	True
19jWnmYnlD8_30_40	0	10	Violin_fiddle	Violin_fiddle	Violin_fiddle	multimodal	True	True
19jWnmYnlD8_30_400	0	10	Clapping	Clapping	Clapping	multimodal	True	True
19kcipjzOGI_7_17	0	9	Baby_cry_infant_cry	Baby_cry_infant_cry	Baby_cry_infant_cry	multimodal	True	True
19kcipjzOGI_7_17	9	10	Baby_cry_infant_cry	Baby_cry_infant_cry		multimodal	True	False
19lu7gR1je0_180_190	0	10	Car	Car	Car	multimodal	True	True
1AgD2StmjBo_30_40	0	10	Car	Car	Car	multimodal	True	True
1BPMaFuSk5Y_12_22	0	1	Car	Car	Car	multimodal	True	True
1BPMaFuSk5Y_12_22	1	8	Speech,Car	Car	Car,Speech	multimodal	True	True
